Intel Mobile Pentium 4 2.40,130.0,60.0,131.0
Intel Xeon Phi 7110P,22.0,300.0,350.0
Intel Core i7-3520M,22.0,35.0,118.0
AMD Turion 64 MT-30,90.0,22.0,125.0
Intel Atom Z625,45.0,2.0,65.0
Intel Core i5-4200U,22.0,15.0,118.0
Intel Pentium E5700,45.0,65.0,82.0
Intel Core i3-3110M,22.0,35.0,118.0
Intel Pentium G3420T,22.0,35.0,177.0
AMD E1-1500,40.0,18.0,75.0
AMD A10-9700E,28.0,35.0,246.0
Intel Pentium 4-M 2.00,130.0,32.0,131.0
Intel Xeon E5620,32.0,80.0,239.0
Intel Core i3-3120M,22.0,35.0,118.0
AMD Opteron 6274,32.0,115.0,316.0
AMD Ryzen 7 1800X,14.0,95.0,192.0
Intel Core i3-3120ME,22.0,35.0,118.0
AMD Ryzen 3 3200U,12.0,15.0,210.0
Intel Xeon E-2124G,14.0,72.0,126.0
AMD Athlon 700,180.0,40.0,120.0
AMD Athlon 64 2700+,130.0,32.0,144.0
AMD Ryzen 7 2700X,12.0,105.0,192.0
AMD Ryzen Embedded V1807B,14.0,45.0,210.0
AMD Athlon II X3 415e,45.0,45.0,169.0
Intel Core i5-2310,32.0,95.0,216.0
AMD FX-8320,32.0,125.0,315.0
AMD Opteron 6386 SE,32.0,140.0,315.0
Intel Celeron 877,32.0,17.0,131.0
AMD Phenom II X6 1100T BE,45.0,125.0,346.0
Intel Core i3-4130,22.0,54.0,177.0
Intel Core i7-3910K,32.0,130.0,435.0
Intel Core i7-3632QM,22.0,35.0,160.0
Intel Pentium 4 HT 515,90.0,84.0,109.0
AMD Opteron 242,130.0,82.0,193.0
Intel Xeon 2.8,90.0,135.0,213.0
Intel Core 2 Duo E7600,45.0,65.0,82.0
AMD Phenom II X4 910,45.0,95.0,258.0
AMD Sempron 2500+,130.0,62.0,80.0
Intel Pentium G3450,22.0,54.0,177.0
AMD EPYC 7601,14.0,180.0,213.0
Intel Xeon E7-8860 v3,22.0,140.0,160.0
AMD Phenom X4 9850 BE,65.0,125.0,285.0
AMD Ryzen 3 3100,7.0,65.0,74.0
Intel Core i7-4940MX,22.0,57.0,177.0
Intel Core 2 Quad Q6600 (105W),65.0,105.0,143.0
AMD Athlon 64 FX-62,90.0,125.0,220.0
AMD Athlon X2 7750 BE,65.0,95.0,285.0
Intel Core i7-3740QM,22.0,45.0,160.0
Intel Core i3-4150T,22.0,35.0,177.0
Intel Atom N570,45.0,9.0,87.0
Intel Core 2 Duo T7300,65.0,35.0,143.0
Intel Atom E645C,45.0,4.0,26.0
Intel Core i7-5820K,22.0,140.0,356.0
Intel Celeron E3400,45.0,65.0,82.0
AMD FX-6120,32.0,95.0,315.0
Intel Pentium G632,32.0,65.0,131.0
Intel Pentium 4 HT 531,90.0,84.0,109.0
Intel Pentium 4 HT 3.20,130.0,82.0,131.0
AMD Athlon II X4 610e,45.0,45.0,169.0
Intel Core i3-3110M,22.0,35.0,118.0
AMD Sempron 2800+,90.0,62.0,103.0
AMD FX-9590,32.0,220.0,315.0
Intel Pentium 4 2.0,130.0,92.0,146.0
Intel Celeron G1620T,22.0,35.0,94.0
AMD Phenom II X6 1055T (95W),45.0,95.0,346.0
AMD A4-4000,32.0,65.0,246.0
AMD Phenom X4 9650,65.0,95.0,285.0
Intel Core i5-4350U,22.0,15.0,118.0
AMD Ryzen Threadripper 1900X,14.0,125.0,213.0
Intel Celeron B820,32.0,35.0,131.0
